video_name,knee_valgus,knee_varus,lateral_hip_shift,torso_lateral_lean,foot_stability
258,0,1,1,1,0
259,0,1,0,0,1
260,0,1,1,1,1
261,0,1,0,1,1
262,0,1,0,1,1
263,0,1,0,0,0
264,0,0,0,0,1
265,0,0,0,1,0
266,0,1,0,1,0
267,0,2,0,1,1
268,0,2,0,1,0
269,0,1,1,1,0
270,0,1,0,0,1
271,0,1,1,1,1
272,0,1,0,1,1
273,0,1,1,2,1
274,0,1,0,0,0
275,0,2,0,1,0
276,0,1,0,1,0
277,0,1,2,1,0
278,0,1,0,2,0
279,0,1,0,2,0
280,0,2,1,1,0
281,0,1,0,2,1
282,0,1,2,2,0
283,0,1,0,0,2
284,0,2,0,0,2
285,0,2,1,1,2
286,0,2,1,1,2
287,1,0,0,0,1
288,0,0,0,1,1
289,0,0,0,2,1
290,0,0,0,2,1
291,2,0,0,0,2
292,2,0,1,1,1
293,2,0,2,2,1
294,0,0,2,1,1
295,1,0,1,1,1
296,2,0,1,0,1
297,1,0,0,0,2
298,2,0,0,0,2
299,1,0,0,0,2
300,0,0,1,2,2
301,2,0,0,0,2
302,2,0,1,0,2
303,2,0,1,2,2
304,0,0,1,2,2
305,2,0,1,2,2
306,2,0,2,0,2
307,1,0,0,0,2
308,1,0,0,0,2
309,1,0,0,0,1
310,2,0,0,0,2
311,0,0,1,0,1
312,0,0,1,0,2
313,0,0,1,2,0
314,0,0,2,1,1
315,0,0,1,2,0
316,0,0,2,2,0
317,1,0,1,2,0
318,2,0,2,2,1
319,1,0,1,2,0
320,2,0,2,1,1
321,0,0,0,0,1
322,0,0,2,1,1
323,0,0,1,2,1
324,0,2,2,1,1
325,2,0,1,2,1
326,2,0,2,1,1
327,1,0,1,2,1
328,2,0,2,2,1
329,0,0,1,0,2
330,0,0,2,1,2
331,0,0,0,1,2
332,0,0,2,2,2
333,1,0,1,0,2
334,2,0,2,2,2
335,1,0,1,2,2
336,2,0,2,2,2
337,1,0,1,1,0
338,1,0,1,1,0
339,1,0,1,1,1
340,1,0,0,0,1
341,1,0,1,0,1
342,1,0,0,1,1
343,1,0,1,1,1
344,1,0,2,0,1
345,1,0,0,2,1
346,1,0,2,1,0
347,2,0,2,0,1
348,2,0,0,1,1
349,2,0,1,1,0
350,2,0,0,0,1
351,2,0,1,0,1
352,2,0,1,1,1
353,2,0,2,1,1
354,2,0,2,1,1
355,2,0,2,1,0
356,2,0,2,2,1
